Sl.No.,,SOUTH - WEST MONSOON,,,,,,,,
,,,,,,,,,,
,,JUNE '23,,,JULY'23,,,AUG '23,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
36,Thoothukudi,6.9,32.5,-78.8,7.9,43.8,-82,51.6,30.5,69.2
37,The Nilgiris,1.5,39,-96.2,29.2,67.2,-56.5,286.4,106.7,168.4
38,Kanniyakumari,7.2,41.5,-82.7,56.7,104.8,-45.9,421.4,125.9,234.7
State Average,,1.4,19.6,-92.7,8.6,36.8,-76.6,125.7,63.7,97.3
,,,,,,,,,,
Sl.No.,,HOT - WEATHER SEASON -TOTAL,,,WHOLE YEAR,,,,,
,,,,,,,,,,
,District,,,,,,,,,
,,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,,,
1,2,48,49,50,51,52,53,,,
1,Chennai,20.9,48.8,-57.2,1950.9,1346.2,44.9,,,
2,Kancheepuram,125,70.4,77.6,1716.7,1155.1,48.6,,,
3,Chengalpattu,95.2,55.2,72.5,1600.5,1186.7,34.9,,,
4,Thiruvallur,136.8,65.8,107.9,1665.2,1182.1,40.9,,,
5,Cuddalore,212.8,80,166,1247.8,1178.6,5.9,,,
6,Villupuram,145.6,63.2,130.4,1177.2,1012.6,16.3,,,
7,Kallakurichi,188.9,82.1,130.1,820.4,956.7,-14.2,,,
8,Vellore,215.5,103.9,107.4,1100.2,925.5,18.9,,,
9,Ranipet,231.5,80.7,186.9,1208.4,944.7,27.9,,,
10,Tirupathur,179.4,116.3,54.3,817.7,817.6,0,,,
11,Tiruvannamalai,256.5,99,159.1,1203.4,1019.7,18,,,
12,Salem,217.7,164.5,32.3,837.5,912.5,-8.2,,,
13,Namakkal,192.3,146,31.7,731.8,758.5,-3.5,,,
14,Dharmapuri,250.1,169.7,47.4,803.5,876.4,-8.3,,,
15,Krishnagiri,221.3,152.8,44.8,734.4,795.6,-7.7,,,
16,Coimbatore,377,161.4,133.6,1510.2,1205.8,25.2,,,
17,Tiruppur,159.1,128.2,24.1,603.7,599.5,0.7,,,
18,Erode,218.9,146.5,49.4,849.5,732.5,16,,,
19,Tiruchirapalli,151.6,105,44.4,641.2,774.9,-17.3,,,
20,Karur,132.8,111.1,19.5,549.6,636.2,-13.6,,,
21,Perambalur,193.3,89.9,115,752.4,816,-7.8,,,
22,Ariyalur,146.1,84.9,72.1,756.9,925.8,-18.2,,,
23,Pudukkottai,170.7,87.8,94.4,795.3,787.7,1,,,
24,Thanjavur,179.6,98.2,82.9,915.8,1017.3,-10,,,
25,Tiruvarur,166.3,103.9,60.1,1131.3,1172.2,-3.5,,,
26,Nagapattinam,178.1,90.8,96.1,1480.3,1336.9,10.7,,,
27,Mayiladuthurai,70.6,85.9,-17.8,1216.3,1332.2,-8.7,,,
28,Madurai,187.6,140.8,33.2,993.9,827.4,20.1,,,
